Original_SMILES,New_SMILES,ID,Catalog ID,Collection,"Price(3 umol), USD",Lead time,canonical_smiles,most_similar_index,tanimoto_similarity,compound_rank,Enamine catalog ID_q,Participant ID,rank,smiles,Enamine catalog ID_local,mol_weight,logP,PAINS passed [y/n],Method,MMGBSA,Wim Recc.,Jude Recc.,similar_to,similarity_scores,bad_apples
CC1=NC(COC=2C=CC=C(C2)C(=O)N3CCCC(CN)C3)=NO1,CC1=NC(COC=2C=CC=C(C2)C(=O)N3CCCC(CN)C3)=NO1,C-1972-32,Z2440040050,sRDB,83.2,5-6 weeks,Cc1nc(COc2cccc(C(=O)N3CCCC(CN)C3)c2)no1,31.0,0.8072289156626510,32,Z2440040050,1972,32,Cc1nc(COc2cccc(C(=O)N3CCC[C@H](C[NH3+])C3)c2)no1,Z2440040050,330.388,0.958534,y,wim pharmacophore,-999.0,1.0,,Z3144506726,0.89,No pScore
O=C(NC=1C=CC=C(CN2CCCC2)C1)C3(CC3)N4C=NN=N4,O=C(NC=1C=CC=C(CN2CCCC2)C1)C3(CC3)N4C=NN=N4,C-1972-33,Z2621693915,sRDB,83.2,5-6 weeks,O=C(Nc1cccc(CN2CCCC2)c1)C1(n2cnnn2)CC1,32.0,0.6282051282051280,33,Z2621693915,1972,33,O=C(Nc1cccc(C[NH+]2CCCC2)c1)C1(n2cnnn2)CC1,Z2621693915,312.37701,1.3059028,y,wim pharmacophore,-999.0,1.0,,Z2473323915|Z2621693769|Z2473316968|Z2621742909,0.85|0.85|0.89|0.94,No pScore
Cl.CC(C)(O)CCN(CC=1C=CC=CC1)C(=O)NC=2C=CC(Cl)=C(CN3CCCCC3)C2,Cl.CC(C)(O)CCN(CC=1C=CC=CC1)C(=O)NC=2C=CC(Cl)=C(CN3CCCCC3)C2,C-1972-34,Z8740336516,sRDB,83.2,5-6 weeks,CC(C)(O)CCN(Cc1ccccc1)C(=O)Nc1ccc(Cl)c(CN2CCCCC2)c1.Cl,33.0,0.631578947368421,34,m_2430bbb____6493264____13772104,1972,34,CC(C)(O)CCN(Cc1ccccc1)C(=O)Nc1ccc(Cl)c(C[NH+]2CCCCC2)c1,m_2430bbb____6493264____13772104,445.024,4.104,y,infinisee REAL + MMGBSA + amine,-76.69,,,,,Low pScore
Cl.O[C@H](CN(CC=1C=CC=CC1)C(=O)NC=2C=CC(Cl)=C(CN3CCCCC3)C2)C4=CC=CO4,OC(CN(CC=1C=CC=CC1)C(=O)NC=2C=CC(Cl)=C(CN3CCCCC3)C2)C4=CC=CO4,C-1972-35,Z8740828249,sRDB,83.2,5-6 weeks,Cl.O=C(Nc1ccc(Cl)c(CN2CCCCC2)c1)N(Cc1ccccc1)C[C@@H](O)c1ccco1,34.0,0.6633663366336630,35,m_2430bbb____6493264____6814606,1972,35,O=C(Nc1ccc(Cl)c(C[NH+]2CCCCC2)c1)N(Cc1ccccc1)C[C@@H](O)c1ccco1,m_2430bbb____6493264____6814606,469.005,4.2695,y,infinisee patent1 + MMGBSA,-73.24,,,,,No pScore
Cl.O[C@@H]1CCN(C1)C=2C=CC=CC2CNC(=O)NCC=3C=CC=CC3CN4CCCCCCC4,Cl.O[C@@H]1CCN(C1)C=2C=CC=CC2CNC(=O)NCC=3C=CC=CC3CN4CCCCCCC4,C-1972-36,Z8740336524,sRDB,83.2,5-6 weeks,Cl.O=C(NCc1ccccc1CN1CCCCCCC1)NCc1ccccc1N1CC[C@@H](O)C1,35.0,0.6352941176470590,36,m_2708baa____4278128____21538310,1972,36,O=C(NCc1ccccc1C[NH+]1CCCCCCC1)NCc1ccccc1N1CC[C@@H](O)C1,m_2708baa____4278128____21538310,451.635,2.606,y,infinisee patent1 + MMGBSA,-71.91,,,,,No pScore
Cl.CN1CCN(CC=2C=CC(NC(=O)N(CCC(C)(C)O)CC=3C=CC=CC3)=CC2C(F)(F)F)CC1,Cl.CN1CCN(CC=2C=CC(NC(=O)N(CCC(C)(C)O)CC=3C=CC=CC3)=CC2C(F)(F)F)CC1,C-1972-37,Z8740336533,sRDB,83.2,5-6 weeks,CN1CCN(Cc2ccc(NC(=O)N(CCC(C)(C)O)Cc3ccccc3)cc2C(F)(F)F)CC1.Cl,36.0,0.6736842105263160,37,m_2430bbb____16761852____13772104,1972,37,CN1CC[NH+](Cc2ccc(NC(=O)N(CCC(C)(C)O)Cc3ccccc3)cc2C(F)(F)F)CC1,m_2430bbb____16761852____13772104,493.594,3.2308,y,infinisee patent1 + MMGBSA,-71.33,,,m_2430bbb____22525090____13772104,0.8,Low pScore
Cl.CC=1C=CC(OC=2C=CC(NC(=O)NCC=3C=CC=C(CN4CCCCCC4)C3)=CC2)=NN1,Cl.CC=1C=CC(OC=2C=CC(NC(=O)NCC=3C=CC=C(CN4CCCCCC4)C3)=CC2)=NN1,C-1972-38,Z8740336534,sRDB,83.2,5-6 weeks,Cc1ccc(Oc2ccc(NC(=O)NCc3cccc(CN4CCCCCC4)c3)cc2)nn1.Cl,37.0,0.6494845360824740,38,m_2708baa____2307424____23985302,1972,38,Cc1ccc(Oc2ccc(NC(=O)NCc3cccc(C[NH+]4CCCCCC4)c3)cc2)nn1,m_2708baa____2307424____23985302,446.575,3.85792,y,infinisee patent1 + MMGBSA,-70.94,,,,,Moderate pScore
Cl.CC(C)C=1C=CC(CN(C2CC2)C(=O)CNC=3C=CC=CC3CN4CCC(CO)CC4)=CC1,Cl.CC(C)C=1C=CC(CN(C2CC2)C(=O)CNC=3C=CC=CC3CN4CCC(CO)CC4)=CC1,C-1972-39,Z8740336535,sRDB,83.2,5-6 weeks,CC(C)c1ccc(CN(C(=O)CNc2ccccc2CN2CCC(CO)CC2)C2CC2)cc1.Cl,38.0,0.6354166666666670,39,m_38bba____2745548____10347726,1972,39,CC(C)c1ccc(CN(C(=O)CNc2ccccc2C[NH+]2CCC(CO)CC2)C2CC2)cc1,m_38bba____2745548____10347726,450.647,3.2003,y,infinisee patent1 + MMGBSA,-70.87,,,,,No pScore
Cl.O=C(CC=1C=CC=C(OC2=NC=NS2)C1)NC=3C=CC(CCN4CCCC4)=CC3,Cl.O=C(CC=1C=CC=C(OC2=NC=NS2)C1)NC=3C=CC(CCN4CCCC4)=CC3,C-1972-40,Z8740336536,sRDB,83.2,5-6 weeks,Cl.O=C(Cc1cccc(Oc2ncns2)c1)Nc1ccc(CCN2CCCC2)cc1,39.0,0.6702127659574470,40,m_11dba____1318150____22137654,1972,40,O=C(Cc1cccc(Oc2ncns2)c1)Nc1ccc(CC[NH+]2CCCC2)cc1,m_11dba____1318150____22137654,409.535,2.7328,y,infinisee patent1 + MMGBSA,-70.62,,,,,Moderate pScore
Cl.CC(C)(C)OC(=O)N1CC(C1)OC=2C=CC(NC(=O)NCC=3C=CC=C(CN4CCCCCC4)C3)=CC2,Cl.CC(C)(C)OC(=O)N1CC(C1)OC=2C=CC(NC(=O)NCC=3C=CC=C(CN4CCCCCC4)C3)=CC2,C-1972-41,Z8740336537,sRDB,83.2,5-6 weeks,CC(C)(C)OC(=O)N1CC(Oc2ccc(NC(=O)NCc3cccc(CN4CCCCCC4)c3)cc2)C1.Cl,40.0,0.6831683168316830,41,m_2708baa____2307424____23992606,1972,41,CC(C)(C)OC(=O)N1CC(Oc2ccc(NC(=O)NCc3cccc(C[NH+]4CCCCCC4)c3)cc2)C1,m_2708baa____2307424____23992606,509.671,3.9653,y,infinisee patent1 + MMGBSA,-70.43,,,,,No pScore
